source	target
TraesCS1A01G070900	HORVU1Hr1G015260.15
TraesCS1A01G071300	HORVU1Hr1G015310.16
TraesCS1A01G071700	HORVU1Hr1G015490.5
TraesCS1A01G071800	HORVU1Hr1G015500.6
TraesCS1A01G072100	HORVU1Hr1G015550.1
TraesCS1A01G072200	HORVU1Hr1G015560.2
TraesCS1A01G072000	HORVU1Hr1G015590.1
TraesCS1A01G072600	HORVU1Hr1G015660.1
TraesCS1A01G072400	HORVU1Hr1G015710.1
TraesCS1A01G072700	HORVU1Hr1G015720.3
TraesCS1A01G073200	HORVU1Hr1G015810.2
TraesCS1A01G073100	HORVU1Hr1G015870.1
TraesCS1A01G074200	HORVU1Hr1G016030.1
TraesCS1A01G074400	HORVU1Hr1G016120.1
TraesCS1A01G074800	HORVU1Hr1G016170.1
TraesCS1A01G074900	HORVU1Hr1G016190.1
TraesCS1A01G075000	HORVU1Hr1G016200.16
TraesCS1A01G075100	HORVU1Hr1G016240.1
TraesCS1A01G075300	HORVU1Hr1G016280.1
TraesCS1A01G075600	HORVU1Hr1G016320.4
TraesCS1A01G075700	HORVU1Hr1G016360.5
TraesCS1A01G076000	HORVU1Hr1G016370.10
TraesCS1A01G076200	HORVU1Hr1G016420.1
TraesCS1A01G076400	HORVU1Hr1G016430.2
TraesCS1A01G076100	HORVU1Hr1G016480.3
TraesCS1A01G077200	HORVU1Hr1G016490.9
TraesCS1A01G077000	HORVU1Hr1G016500.4
TraesCS1A01G077300	HORVU1Hr1G016600.9
TraesCS1A01G077600	HORVU1Hr1G016630.3
TraesCS1A01G077500	HORVU1Hr1G016640.2
TraesCS1A01G077700	HORVU1Hr1G016660.1
TraesCS1A01G077800	HORVU1Hr1G016700.1
TraesCS1A01G077900	HORVU1Hr1G016720.1
TraesCS1A01G078100	HORVU1Hr1G016770.1
TraesCS1A01G078700	HORVU1Hr1G016790.2
TraesCS1A01G078200	HORVU1Hr1G016820.2
TraesCS1A01G079300	HORVU1Hr1G017020.2
TraesCS1A01G078800	HORVU1Hr1G017050.3
TraesCS1A01G079000	HORVU1Hr1G017080.1
TraesCS1A01G079600	HORVU1Hr1G017100.1
TraesCS1A01G079700	HORVU1Hr1G017120.3
TraesCS1A01G080000	HORVU1Hr1G017170.1
TraesCS1A01G080200	HORVU1Hr1G017220.9
TraesCS1A01G080100	HORVU1Hr1G017230.2
TraesCS1A01G081200	HORVU1Hr1G017410.1
TraesCS1A01G081300	HORVU1Hr1G017460.1
TraesCS1A01G081500	HORVU1Hr1G017470.2
TraesCS1A01G081400	HORVU1Hr1G017480.1
TraesCS1A01G081600	HORVU1Hr1G017530.1
TraesCS1A01G082000	HORVU1Hr1G017570.5
TraesCS1A01G082200	HORVU1Hr1G017580.1
TraesCS1A01G082300	HORVU1Hr1G017660.1
TraesCS1A01G082400	HORVU1Hr1G017670.1
TraesCS1A01G082500	HORVU1Hr1G017700.2
TraesCS1A01G082600	HORVU1Hr1G017710.2
TraesCS1A01G082700	HORVU1Hr1G017770.2
TraesCS1A01G083000	HORVU1Hr1G017900.3
TraesCS1A01G083100	HORVU1Hr1G017970.4
TraesCS1A01G083300	HORVU1Hr1G018010.2
TraesCS1A01G083400	HORVU1Hr1G018060.2
TraesCS1A01G083800	HORVU1Hr1G018140.5
TraesCS1A01G083900	HORVU1Hr1G018150.1
TraesCS1A01G084000	HORVU1Hr1G018200.1
TraesCS1A01G084200	HORVU1Hr1G018310.4
TraesCS1A01G084600	HORVU1Hr1G018350.1
TraesCS1A01G084800	HORVU1Hr1G018360.1
TraesCS1A01G084900	HORVU1Hr1G018370.1
TraesCS1A01G085000	HORVU1Hr1G018380.1
TraesCS1A01G085300	HORVU1Hr1G018450.2
TraesCS1A01G085500	HORVU1Hr1G018500.4
TraesCS1A01G085600	HORVU1Hr1G018540.17
TraesCS1A01G085800	HORVU1Hr1G018600.1
TraesCS1A01G086100	HORVU1Hr1G018710.2
TraesCS1A01G086200	HORVU1Hr1G018720.2
TraesCS1A01G086300	HORVU1Hr1G018730.1
TraesCS1A01G086500	HORVU1Hr1G018740.1
TraesCS1A01G086600	HORVU1Hr1G018750.3
TraesCS1A01G086700	HORVU1Hr1G018770.1
TraesCS1A01G086800	HORVU1Hr1G018790.12
TraesCS1A01G087200	HORVU1Hr1G019000.2
TraesCS1A01G088000	HORVU1Hr1G019330.7
TraesCS1A01G088200	HORVU1Hr1G019340.6
TraesCS1A01G088300	HORVU1Hr1G019380.2
TraesCS1A01G088600	HORVU1Hr1G019500.3
TraesCS1A01G088700	HORVU1Hr1G019520.1
TraesCS1A01G105000	HORVU1Hr1G020550.1
TraesCS1A01G104900	HORVU1Hr1G020560.1
TraesCS1A01G104800	HORVU1Hr1G020600.2
TraesCS1A01G104700	HORVU1Hr1G020620.7
TraesCS1A01G104500	HORVU1Hr1G020660.2
TraesCS1A01G104300	HORVU1Hr1G020690.5
TraesCS1A01G104100	HORVU1Hr1G020720.2
TraesCS1A01G104000	HORVU1Hr1G021000.7
TraesCS1A01G103300	HORVU1Hr1G021040.1
TraesCS1A01G103200	HORVU1Hr1G021070.1
TraesCS1A01G103100	HORVU1Hr1G021100.2
TraesCS1A01G102700	HORVU1Hr1G021140.1
TraesCS1A01G090100	HORVU1Hr1G021190.1
TraesCS1A01G090300	HORVU1Hr1G021230.11
TraesCS1A01G090700	HORVU1Hr1G021340.3
TraesCS1A01G101200	HORVU1Hr1G021390.5
TraesCS1A01G091100	HORVU1Hr1G021540.17
TraesCS1A01G091300	HORVU1Hr1G021550.4
TraesCS1A01G091400	HORVU1Hr1G021560.26
TraesCS1A01G091500	HORVU1Hr1G021590.5
TraesCS1A01G091600	HORVU1Hr1G021620.2
TraesCS1A01G091900	HORVU1Hr1G021630.1
TraesCS1A01G092200	HORVU1Hr1G021650.6
TraesCS1A01G092700	HORVU1Hr1G021690.1
TraesCS1A01G092800	HORVU1Hr1G021730.1
TraesCS1A01G093000	HORVU1Hr1G021750.1
TraesCS1A01G093100	HORVU1Hr1G021760.2
TraesCS1A01G093800	HORVU1Hr1G021780.1
TraesCS1A01G093900	HORVU1Hr1G021840.1
TraesCS1A01G094000	HORVU1Hr1G021890.1
TraesCS1A01G094300	HORVU1Hr1G021920.1
TraesCS1A01G094500	HORVU1Hr1G021990.11
TraesCS1A01G094700	HORVU1Hr1G022020.1
TraesCS1A01G094800	HORVU1Hr1G022050.2
TraesCS1A01G094900	HORVU1Hr1G022060.1
TraesCS1A01G095100	HORVU1Hr1G022130.3
TraesCS1A01G095400	HORVU1Hr1G022290.7
TraesCS1A01G095500	HORVU1Hr1G022370.3
TraesCS1A01G095600	HORVU1Hr1G022380.1
TraesCS1A01G096000	HORVU1Hr1G022420.1
TraesCS1A01G096200	HORVU1Hr1G022450.70
TraesCS1A01G096600	HORVU1Hr1G022550.6
TraesCS1A01G097000	HORVU1Hr1G022660.1
TraesCS1A01G097200	HORVU1Hr1G022700.4
TraesCS1A01G097400	HORVU1Hr1G022750.2
TraesCS1A01G097500	HORVU1Hr1G022790.1
TraesCS1A01G097600	HORVU1Hr1G022800.1
TraesCS1A01G097700	HORVU1Hr1G022810.1
TraesCS1A01G099000	HORVU1Hr1G022840.2
TraesCS1A01G099100	HORVU1Hr1G022900.1
TraesCS1A01G099300	HORVU1Hr1G022990.1
TraesCS1A01G099400	HORVU1Hr1G023030.2
TraesCS1A01G099500	HORVU1Hr1G023060.5
TraesCS1A01G107300	HORVU1Hr1G023070.37
TraesCS1A01G107200	HORVU1Hr1G023100.1
TraesCS1A01G107100	HORVU1Hr1G023120.1
TraesCS1A01G107000	HORVU1Hr1G023170.2
TraesCS1A01G106700	HORVU1Hr1G023220.1
TraesCS1A01G106600	HORVU1Hr1G023260.1
TraesCS1A01G106500	HORVU1Hr1G023320.3
TraesCS1A01G106400	HORVU1Hr1G023330.1
TraesCS1A01G106200	HORVU1Hr1G023460.1
TraesCS1A01G106100	HORVU1Hr1G023480.6
TraesCS1A01G106000	HORVU1Hr1G023500.11
TraesCS1A01G105800	HORVU1Hr1G023510.2
TraesCS1A01G105600	HORVU1Hr1G023630.1
TraesCS1A01G105400	HORVU1Hr1G023660.1
TraesCS1A01G105500	HORVU1Hr1G023670.1
TraesCS1A01G105300	HORVU1Hr1G023690.1
TraesCS1A01G108000	HORVU1Hr1G024060.3
TraesCS1A01G108100	HORVU1Hr1G024070.1
TraesCS1A01G110200	HORVU1Hr1G024210.1
TraesCS1A01G110300	HORVU1Hr1G024240.1
TraesCS1A01G110400	HORVU1Hr1G024280.2
TraesCS1A01G110900	HORVU1Hr1G024400.2
TraesCS1A01G111100	HORVU1Hr1G024420.9
TraesCS1A01G111300	HORVU1Hr1G024460.3
TraesCS1A01G111600	HORVU1Hr1G024510.5
TraesCS1A01G111800	HORVU1Hr1G024540.1
TraesCS1A01G111900	HORVU1Hr1G024580.5
TraesCS1A01G112100	HORVU1Hr1G024660.1
TraesCS1A01G112400	HORVU1Hr1G024700.4
TraesCS1A01G112500	HORVU1Hr1G024710.2
TraesCS1A01G112600	HORVU1Hr1G024740.1
TraesCS1A01G112800	HORVU1Hr1G024810.2
TraesCS1A01G113100	HORVU1Hr1G024860.1
TraesCS1A01G113200	HORVU1Hr1G024870.4
TraesCS1A01G113400	HORVU1Hr1G024990.3
TraesCS1A01G113700	HORVU1Hr1G025020.4
TraesCS1A01G113800	HORVU1Hr1G025040.2
TraesCS1A01G114500	HORVU1Hr1G025160.5
TraesCS1A01G114700	HORVU1Hr1G025250.2
TraesCS1A01G114900	HORVU1Hr1G025280.2
TraesCS1A01G115000	HORVU1Hr1G025340.1
TraesCS1A01G115100	HORVU1Hr1G025360.1
TraesCS1A01G115500	HORVU1Hr1G025480.1
TraesCS1A01G115600	HORVU1Hr1G025500.1
TraesCS1A01G117300	HORVU1Hr1G025960.1
TraesCS1A01G118900	HORVU1Hr1G026400.6
TraesCS1A01G119400	HORVU1Hr1G026570.2
TraesCS1A01G120000	HORVU1Hr1G026800.1
TraesCS1A01G120500	HORVU1Hr1G027490.3
TraesCS1A01G120600	HORVU1Hr1G027500.1
TraesCS1A01G120800	HORVU1Hr1G027550.1
TraesCS1A01G120900	HORVU1Hr1G027570.1
TraesCS1A01G121000	HORVU1Hr1G027620.2
TraesCS1A01G121200	HORVU1Hr1G027660.1
TraesCS1A01G121300	HORVU1Hr1G027690.1
TraesCS1A01G121500	HORVU1Hr1G027700.1
TraesCS1A01G121700	HORVU1Hr1G027770.1
TraesCS1A01G122000	HORVU1Hr1G027840.2
TraesCS1A01G122100	HORVU1Hr1G027850.4
TraesCS1A01G122200	HORVU1Hr1G027920.1
TraesCS1A01G122300	HORVU1Hr1G027980.33
TraesCS1A01G122500	HORVU1Hr1G028030.13
TraesCS1A01G122600	HORVU1Hr1G028170.3
TraesCS1A01G122700	HORVU1Hr1G028190.1
TraesCS1A01G122800	HORVU1Hr1G028200.1
TraesCS1A01G122900	HORVU1Hr1G028250.6
TraesCS1A01G123200	HORVU1Hr1G028270.2
TraesCS1A01G123600	HORVU1Hr1G028330.1
TraesCS1A01G123900	HORVU1Hr1G028450.5
TraesCS1A01G124100	HORVU1Hr1G028520.1
TraesCS1A01G124400	HORVU1Hr1G028680.1
TraesCS1A01G124500	HORVU1Hr1G028690.1
TraesCS1A01G124600	HORVU1Hr1G028720.7
TraesCS1A01G124700	HORVU1Hr1G028780.1
TraesCS1A01G125100	HORVU1Hr1G028820.1
TraesCS1A01G125400	HORVU1Hr1G028900.11
TraesCS1A01G125500	HORVU1Hr1G028920.2
TraesCS1A01G125600	HORVU1Hr1G029110.2
TraesCS1A01G125700	HORVU1Hr1G029180.2
TraesCS1A01G125800	HORVU1Hr1G029220.1
TraesCS1A01G125900	HORVU1Hr1G029280.1
TraesCS1A01G126000	HORVU1Hr1G029370.1
TraesCS1A01G126100	HORVU1Hr1G029460.4
TraesCS1A01G126300	HORVU1Hr1G029490.2
TraesCS1A01G126400	HORVU1Hr1G029520.3
TraesCS1A01G127000	HORVU1Hr1G030030.2
TraesCS1A01G127400	HORVU1Hr1G030040.2
TraesCS1A01G127500	HORVU1Hr1G030060.11
TraesCS1A01G127600	HORVU1Hr1G030100.16
TraesCS1A01G127900	HORVU1Hr1G030140.3
TraesCS1A01G128300	HORVU1Hr1G030630.6
TraesCS1A01G128600	HORVU1Hr1G030660.12
TraesCS1A01G139900	HORVU1Hr1G036920.1
TraesCS1A01G140800	HORVU1Hr1G036970.1
TraesCS1A01G140900	HORVU1Hr1G036990.9
TraesCS1A01G141000	HORVU1Hr1G037060.2
TraesCS1A01G141100	HORVU1Hr1G037110.2
TraesCS1A01G141300	HORVU1Hr1G037150.2
TraesCS1A01G141400	HORVU1Hr1G037250.2
TraesCS1A01G141500	HORVU1Hr1G037270.1
TraesCS1A01G141700	HORVU1Hr1G037460.15
TraesCS1A01G141800	HORVU1Hr1G037530.1
TraesCS1A01G141900	HORVU1Hr1G037550.5
TraesCS1A01G142000	HORVU1Hr1G037650.5
TraesCS1A01G142300	HORVU1Hr1G037730.4
TraesCS1A01G142400	HORVU1Hr1G037760.6
TraesCS1A01G142500	HORVU1Hr1G037810.14
TraesCS1A01G143000	HORVU1Hr1G038060.9
TraesCS1A01G143100	HORVU1Hr1G038070.1
TraesCS1A01G143300	HORVU1Hr1G038120.1
TraesCS1A01G143400	HORVU1Hr1G038180.51
TraesCS1A01G143500	HORVU1Hr1G038240.1
TraesCS1A01G143700	HORVU1Hr1G038260.1
TraesCS1A01G143800	HORVU1Hr1G038270.1
TraesCS1A01G143900	HORVU1Hr1G038330.1
TraesCS1A01G144000	HORVU1Hr1G038370.1
TraesCS1A01G144500	HORVU1Hr1G038500.1
TraesCS1A01G144800	HORVU1Hr1G038620.27
TraesCS1A01G144900	HORVU1Hr1G038650.1
TraesCS1A01G145000	HORVU1Hr1G038680.8
TraesCS1A01G145100	HORVU1Hr1G038700.15
TraesCS1A01G145300	HORVU1Hr1G038730.5
TraesCS1A01G145700	HORVU1Hr1G038740.2
TraesCS1A01G145900	HORVU1Hr1G038800.1
TraesCS1A01G146000	HORVU1Hr1G038810.3
TraesCS1A01G146200	HORVU1Hr1G038820.3
TraesCS1A01G146600	HORVU1Hr1G038850.2
TraesCS1A01G146900	HORVU1Hr1G038880.2
TraesCS1A01G147000	HORVU1Hr1G038890.1
TraesCS1A01G147100	HORVU1Hr1G038920.3
TraesCS1A01G147400	HORVU1Hr1G038990.2
TraesCS1A01G147500	HORVU1Hr1G039000.3
TraesCS1A01G147600	HORVU1Hr1G039010.6
TraesCS1A01G147700	HORVU1Hr1G039030.1
TraesCS1A01G148000	HORVU1Hr1G039050.13
TraesCS1A01G148300	HORVU1Hr1G039150.5
TraesCS1A01G148400	HORVU1Hr1G039160.1
TraesCS1A01G148900	HORVU1Hr1G039180.1
TraesCS1A01G149100	HORVU1Hr1G039230.2
TraesCS1A01G149200	HORVU1Hr1G039260.2
TraesCS1A01G149400	HORVU1Hr1G039370.1
TraesCS1A01G149800	HORVU1Hr1G039540.17
TraesCS1A01G150000	HORVU1Hr1G039570.2
TraesCS1A01G150100	HORVU1Hr1G039600.1
TraesCS1A01G150200	HORVU1Hr1G039670.7
TraesCS1A01G150600	HORVU1Hr1G039790.5
TraesCS1A01G150700	HORVU1Hr1G039810.1
TraesCS1A01G150800	HORVU1Hr1G039820.1
TraesCS1A01G151000	HORVU1Hr1G039870.1
TraesCS1A01G151100	HORVU1Hr1G039880.1
TraesCS1A01G151200	HORVU1Hr1G040050.6
TraesCS1A01G151400	HORVU1Hr1G040110.2
TraesCS1A01G151600	HORVU1Hr1G040160.10
TraesCS1A01G152000	HORVU1Hr1G040200.1
TraesCS1A01G152100	HORVU1Hr1G040420.4
TraesCS1A01G152200	HORVU1Hr1G040450.9
TraesCS1A01G152300	HORVU1Hr1G040540.6
TraesCS1A01G152500	HORVU1Hr1G040560.18
TraesCS1A01G152900	HORVU1Hr1G040670.5
TraesCS1A01G153400	HORVU1Hr1G040850.37
TraesCS1A01G153600	HORVU1Hr1G040930.1
TraesCS1A01G153800	HORVU1Hr1G040950.2
TraesCS1A01G153900	HORVU1Hr1G040980.1
